=== 都道府県コード（47件） ===
コード,都道府県名
01,北海道
02,青森県
03,岩手県
04,宮城県
05,秋田県
06,山形県
07,福島県
08,茨城県
09,栃木県
10,群馬県
11,埼玉県
12,千葉県
13,東京都
14,神奈川県
15,新潟県
16,富山県
17,石川県
18,福井県
19,山梨県
20,長野県
21,岐阜県
22,静岡県
23,愛知県
24,三重県
25,滋賀県
26,京都府
27,大阪府
28,兵庫県
29,奈良県
30,和歌山県
31,鳥取県
32,島根県
33,岡山県
34,広島県
35,山口県
36,徳島県
37,香川県
38,愛媛県
39,高知県
40,福岡県
41,佐賀県
42,長崎県
43,熊本県
44,大分県
45,宮崎県
46,鹿児島県
47,沖縄県

=== 市区町村コード（サンプル） ===
総数: 1918 市区町村（全国コード00000を除く）

コード,名称,都道府県
01100,札幌市,北海道
01101,札幌市中央区,北海道
01102,札幌市北区,北海道
01103,札幌市東区,北海道
01104,札幌市白石区,北海道
01105,札幌市豊平区,北海道
01106,札幌市南区,北海道
01107,札幌市西区,北海道
01108,札幌市厚別区,北海道
01109,札幌市手稲区,北海道
01110,札幌市清田区,北海道
01202,函館市,北海道
01203,小樽市,北海道
01204,旭川市,北海道
01205,室蘭市,北海道
01206,釧路市,北海道
01207,帯広市,北海道
01208,北見市,北海道
01209,夕張市,北海道
01210,岩見沢市,北海道
01211,網走市,北海道
01212,留萌市,北海道
01213,苫小牧市,北海道
01214,稚内市,北海道
01215,美唄市,北海道
01216,芦別市,北海道
01217,江別市,北海道
01218,赤平市,北海道
01219,紋別市,北海道
01220,士別市,北海道
01221,名寄市,北海道
01222,三笠市,北海道
01223,根室市,北海道
01224,千歳市,北海道
01225,滝川市,北海道
01226,砂川市,北海道
01227,歌志内市,北海道
01228,深川市,北海道
01229,富良野市,北海道
01230,登別市,北海道
01231,恵庭市,北海道
01233,伊達市,北海道
01234,北広島市,北海道
01235,石狩市,北海道
01236,北斗市,北海道
01303,当別町,北海道
01304,新篠津村,北海道
01331,松前町,北海道
01332,福島町,北海道
01333,知内町,北海道
01334,木古内町,北海道
01337,七飯町,北海道
01343,鹿部町,北海道
01345,森町,北海道
01346,八雲町,北海道
01347,長万部町,北海道
01361,江差町,北海道
